StockCode,Description,TotalRevenue,TotalQuantity,UniqueInvoices,UniqueCustomers
21903,MAN FLU METAL SIGN,2356.38,1127,153,113
21904,HOUSE WRECKING METAL SIGN ,105.0,50,23,21
21905,MORE BUTTER METAL SIGN ,705.3100000000001,684,110,84
21906,PHARMACIE FIRST AID TIN,3220.81,483,94,71
21907,I'M ON HOLIDAY METAL SIGN,4757.35,2292,329,208
21908,CHOCOLATE THIS WAY METAL SIGN,7204.320000000001,3633,374,220
21910,WAY OUT METAL SIGN ,59.400000000000006,36,8,8
21911,GARDEN METAL SIGN ,173.25,105,20,18
21912,VINTAGE SNAKES & LADDERS,5508.53,1571,268,201
21913,VINTAGE SEASIDE JIGSAW PUZZLES,1142.53,305,89,72
21914,BLUE HARMONICA IN BOX ,9218.88,7431,517,306
21915,RED  HARMONICA IN BOX ,23756.43,20945,561,349
21916,SET 12 RETRO WHITE CHALK STICKS,1771.1200000000001,4362,248,156
21917,SET 12 KIDS  WHITE CHALK STICKS,1651.14,4090,186,132
21918,SET 12 KIDS COLOUR  CHALK STICKS,2814.28,7012,282,193
21922,UNION STRIPE WITH FRINGE  HAMMOCK,5674.14,758,167,113
21925,UNION STRIPE CUSHION COVER ,503.75,403,65,38
21926,RED/CREAM STRIPE CUSHION COVER ,509.9,414,60,35
21927,BLUE/CREAM STRIPE CUSHION COVER ,769.9,622,98,41
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,14626.73,7754,451,232
21928,JUMBO BAG SCANDINAVIAN PAISLEY,3426.75,1945,91,76
21929,JUMBO BAG PINK VINTAGE PAISLEY,18427.9,9888,602,308
21930,JUMBO STORAGE BAG SKULLS,10865.83,5694,471,220
21931,JUMBO STORAGE BAG SUKI,21784.84,11513,774,333
21932,SCANDINAVIAN PAISLEY PICNIC BAG,4357.06,2463,319,218
21933,PINK VINTAGE PAISLEY PICNIC BAG,4289.26,2406,283,198
21934,SKULL SHOULDER BAG,2081.2,1288,143,85
21935,SUKI  SHOULDER BAG,2824.37,1763,204,121
21936,RED RETROSPOT PICNIC BAG,10365.76,3756,385,223
21937,STRAWBERRY   PICNIC BAG,4430.5,1590,206,146
21942,SKULLS DESIGN FLANNEL,134.54999999999998,161,23,14
21943,CAKES AND RABBITS DESIGN FLANNEL ,48.449999999999996,57,10,7
21944,KITTENS DESIGN FLANNEL,177.88,232,33,24
21945,STRAWBERRIES  DESIGN FLANNEL ,190.79,225,29,27
21946,PARTY TIME DESIGN FLANNEL,58.9,72,11,8
21947,SET OF 6 HEART CHOPSTICKS,741.48,594,82,62
21948,SET OF 6 CAKE CHOPSTICKS,541.82,417,54,37
21949,SET OF 6 STRAWBERRY CHOPSTICKS,725.49,613,59,46
21955,DOORMAT UNION JACK GUNS AND ROSES,6619.41,1157,155,108
21967,PACK OF 12 SKULL TISSUES,1504.9799999999998,5162,173,129
21972,SET OF 36 DINOSAUR PAPER DOILIES,423.4,292,39,35
21973,SET OF 36 MUSHROOM PAPER DOILIES,230.54999999999998,159,30,25
21974,SET OF 36 PAISLEY FLOWER DOILIES,2942.5099999999998,2036,229,177
21975,PACK OF 60 DINOSAUR CAKE CASES,5919.28,12106,529,287
21976,PACK OF 60 MUSHROOM CAKE CASES,2496.08,4936,276,181
21977,PACK OF 60 PINK PAISLEY CAKE CASES,11611.0,24230,669,410
21980,PACK OF 12 RED RETROSPOT TISSUES ,2002.7299999999998,6521,250,192
21981,PACK OF 12 WOODLAND TISSUES ,1508.87,5281,190,143
21982,PACK OF 12 SUKI TISSUES ,1995.05,6907,259,182
21983,PACK OF 12 BLUE PAISLEY TISSUES ,712.7299999999999,2223,124,98
21984,PACK OF 12 PINK PAISLEY TISSUES ,999.5999999999999,3294,157,123
21985,PACK OF 12 HEARTS DESIGN TISSUES ,2542.17,8541,354,262
21986,PACK OF 12 PINK POLKADOT TISSUES,1129.79,3985,155,118
21987,PACK OF 6 SKULL PAPER CUPS,1254.74,2050,147,106
21988,PACK OF 6 SKULL PAPER PLATES,1663.3,2194,147,101
21989,PACK OF 20 SKULL PAPER NAPKINS,1672.6899999999998,2065,205,130
21990,MODERN FLORAL STATIONERY SET,1734.6,1212,177,127
21991,BOHEMIAN COLLAGE STATIONERY SET,675.53,471,102,80
21992,VINTAGE PAISLEY STATIONERY SET,1640.29,1151,199,160
21993,FLORAL FOLK STATIONERY SET,1927.3500000000001,1360,205,151
22021,BLUE FELT EASTER EGG BASKET,577.5,350,64,60
22023,EMPIRE BIRTHDAY CARD,476.25,1131,84,71
22024,RAINY LADIES BIRTHDAY CARD,918.91,2280,129,90
22025,RING OF ROSES BIRTHDAY CARD,702.0,1764,87,73
22026,BANQUET BIRTHDAY  CARD  ,642.24,1560,100,71
22027,TEA PARTY BIRTHDAY CARD,1692.71,4141,262,180
22028,PENNY FARTHING BIRTHDAY CARD,1198.45,2903,185,124
22029,SPACEBOY BIRTHDAY CARD,3120.14,7834,394,234
22030,SWALLOWS GREETING CARD,2120.55,5337,242,179
22031,BOTANICAL LAVENDER BIRTHDAY CARD,158.61,363,32,28
22032,BOTANICAL LILY GREETING CARD,151.62,361,31,28
22033,BOTANICAL ROSE GREETING CARD,141.12,336,21,20
22034,ROBIN CHRISTMAS CARD,1.26,3,1,1
22035,VINTAGE CARAVAN GREETING CARD ,569.02,1394,87,65
22037,ROBOT BIRTHDAY CARD,1552.96,3747,257,173
22038,BOTANICAL LAVENDER GIFT WRAP ,199.5,475,19,19
22039,BOTANICAL LILY GIFT WRAP,105.0,250,7,6
22040,BOTANICAL ROSE GIFT WRAP,304.5,725,28,27
22041,"RECORD FRAME 7"" SINGLE SIZE ",8450.82,3812,196,73
22042,CHRISTMAS CARD SINGING ANGEL,151.2,360,25,24
22043,CHRISTMAS CARD SCREEN PRINT ,283.32,1188,43,40
22044,CHRISTMAS CARD STACK OF PRESENTS,196.44,816,36,35
22045,SPACEBOY GIFT WRAP,2652.34,6477,206,148
22046,TEA PARTY  WRAPPING PAPER ,929.0,2250,75,62
22047,EMPIRE GIFT WRAP,1363.0,3350,105,93
22048,BIRTHDAY BANQUET GIFT WRAP,393.5,975,32,32
22049,WRAP CHRISTMAS SCREEN PRINT,270.5,1000,31,26
22050,PINK PAISLEY ROSE GIFT WRAP,498.5,1225,40,37
22051,BLUE SCANDINAVIAN PAISLEY WRAP,409.5,975,39,36
22052,VINTAGE CARAVAN GIFT WRAP,239.82,571,23,22
22053,EMPIRE DESIGN ROSETTE,3596.42,4236,26,23
22055,MINI CAKE STAND  HANGING STRAWBERY,1661.78,1251,142,102
22057,CERAMIC PLATE STRAWBERRY DESIGN,648.18,578,56,46
22059,CERAMIC STRAWBERRY DESIGN MUG,1960.47,1739,142,85
22060,LARGE CAKE STAND HANGING HEARTS,1111.05,231,34,31
22061,LARGE CAKE STAND  HANGING STRAWBERY,3854.68,564,129,86
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,599.74,590,53,44
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,1106.5500000000002,537,81,56
22064,PINK DOUGHNUT TRINKET POT ,2132.7,1602,164,85
22065,CHRISTMAS PUDDING TRINKET POT ,2883.44,6430,165,132
22066,LOVE HEART TRINKET POT,1029.1399999999999,2232,131,99
22067,CHOC TRUFFLE GOLD TRINKET POT ,562.53,385,48,32
22068,BLACK PIRATE TREASURE CHEST,502.38,432,81,56
22069,BROWN  PIRATE TREASURE CHEST ,237.48,218,37,26
22070,SMALL RED RETROSPOT MUG IN BOX ,2030.68,873,84,62
22071,SMALL WHITE RETROSPOT MUG IN BOX ,1295.04,710,72,64
22072,RED RETROSPOT TEA CUP AND SAUCER ,2519.19,807,139,90
22073,RED RETROSPOT STORAGE JAR,1067.1,298,45,38
22074,6 RIBBONS SHIMMERING PINKS ,772.94,1000,75,61
22075,6 RIBBONS ELEGANT CHRISTMAS ,2004.92,1538,120,96
22076,6 RIBBONS EMPIRE  ,1302.72,1034,113,96
22077,6 RIBBONS RUSTIC CHARM,14969.84,8594,726,413
22078,RIBBON REEL LACE DESIGN ,2584.8,1288,143,105
22079,RIBBON REEL HEARTS DESIGN ,2808.89,1701,225,190
22080,RIBBON REEL POLKADOTS ,1877.55,1167,126,116
22081,RIBBON REEL FLORA + FAUNA ,978.37,585,89,74
22082,RIBBON REEL STRIPES DESIGN ,4154.33,2525,334,250
22083,PAPER CHAIN KIT RETROSPOT,11935.310000000001,4265,444,294
22084,PAPER CHAIN KIT EMPIRE,13411.550000000001,4885,374,277
22085,PAPER CHAIN KIT SKULLS ,1415.65,507,73,62
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,42584.130000000005,15591,980,613
22087,PAPER BUNTING WHITE LACE,10243.4,3772,257,155
22088,PAPER BUNTING COLOURED LACE,4683.1,1698,169,115
22089,PAPER BUNTING VINTAGE PAISLEY,3395.55,1213,181,142
22090,PAPER BUNTING RETROSPOT,18785.99,6901,568,325
22091,EMPIRE TISSUE BOX,919.67,1937,130,97
22092,BLUE PAISLEY TISSUE BOX,311.56,666,88,75
22093,MOTORING TISSUE BOX,804.81,1823,153,114
22094,RED RETROSPOT TISSUE BOX,930.04,2081,145,117
22095,LADS ONLY TISSUE BOX,1427.59,1571,102,72
22096,PINK PAISLEY SQUARE TISSUE BOX ,561.75,1357,109,89
22097,SWALLOW SQUARE TISSUE BOX,685.55,1577,132,103
22098,BOUDOIR SQUARE TISSUE BOX,910.08,1955,143,98
22099,CARAVAN SQUARE TISSUE BOX,703.5699999999999,1399,122,96
22100,SKULLS SQUARE TISSUE BOX,304.17,727,38,34
22101,MIRROR MOSAIC VOTIVE HOLDER,631.62,837,24,21
22102,MIRROR MOSAIC T-LIGHT HOLDER ,715.05,1533,18,13
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,694.2900000000001,1153,15,12
22104,MIRROR MOSAIC CANDLE PLATE,120.07,151,12,9
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,566.5,506,10,9
22106,MIRROR MOSAIC HURRICANE LAMP ,584.9,286,12,9
22107,PIZZA PLATE IN BOX,962.48,291,69,44
22108,PING! MICROWAVE PLATE,246.53,101,28,16
22109,FULL ENGLISH BREAKFAST PLATE,4985.55,1381,158,100
22110,BIRD HOUSE HOT WATER BOTTLE,1562.06,617,154,116
22111,SCOTTIE DOG HOT WATER BOTTLE,20049.9,4248,656,425
22112,CHOCOLATE HOT WATER BOTTLE,23584.64,5152,700,382
22113,GREY HEART HOT WATER BOTTLE,12148.9,3145,511,337
22114,HOT WATER BOTTLE TEA AND SYMPATHY,15386.07,3729,514,325
22115,METAL SIGN EMPIRE TEA,1706.8100000000002,1495,183,152
22116,METAL SIGN HIS DINNER IS SERVED,493.39000000000004,505,90,65
22117,METAL SIGN HER DINNER IS SERVED ,3802.5,1290,72,58
22118,JOY WOODEN BLOCK LETTERS,742.63,217,78,67
22119,PEACE WOODEN BLOCK LETTERS,1699.66,342,103,82
22120,WELCOME  WOODEN BLOCK LETTERS,4826.67,502,167,121
22121,NOEL WOODEN BLOCK LETTERS ,1924.94,332,114,94
22123,PING MICROWAVE APRON,793.5999999999999,442,72,59
22124,SET OF 2 TEA TOWELS PING MICROWAVE,127.42,78,23,14
22125,UNION JACK HOT WATER BOTTLE ,23.8,4,1,1
22127,PARTY CONES CARNIVAL ASSORTED,479.7,402,20,20
22128,PARTY CONES CANDY ASSORTED,2042.69,1729,72,62
22129,PARTY CONES CANDY DECORATION,233.27999999999997,296,8,6
22129,PARTY CONES CANDY TREE DECORATION,552.18,690,28,27
22130,PARTY CONE CHRISTMAS DECORATION ,1260.53,1505,88,78
22131,FOOD CONTAINER SET 3 LOVE HEART ,3358.72,1884,180,115
22132,RED LOVE HEART SHAPE CUP,772.91,935,83,60
22133,PINK LOVE HEART SHAPE CUP,585.78,702,60,41
22134,LADLE LOVE HEART RED ,2.52,6,1,1
22134,MINI LADLE LOVE HEART RED ,252.24,630,54,28
22135,LADLE LOVE HEART PINK,7.98,19,3,3
22135,MINI LADLE LOVE HEART PINK,106.56,242,45,20
22136,LOVE HEART SOCK HANGER,530.25,333,50,37
22137,BATHROOM SET LOVE HEART DESIGN,191.00000000000003,68,11,9
22138,BAKING SET 9 PIECE RETROSPOT ,22953.100000000002,4786,854,581
22139,RETROSPOT TEA SET CERAMIC 11 PC ,20426.23,4239,823,488
22141,CHRISTMAS CRAFT TREE TOP ANGEL,5015.08,2443,348,256
22142,CHRISTMAS CRAFT WHITE FAIRY ,4334.94,3070,321,259
22144,CHRISTMAS CRAFT LITTLE FRIENDS,7109.2,3459,421,319
22145,CHRISTMAS CRAFT HEART STOCKING ,63.0,30,1,1
22146,EASTER CRAFT IVY WREATH WITH CHICK,1.95,1,1,1
22147,FELTCRAFT BUTTERFLY HEARTS,8308.75,6123,436,287
22148,EASTER CRAFT 4 CHICKS ,3355.35,1813,159,148
22149,FELTCRAFT 6 FLOWER FRIENDS,11549.59,5882,461,337
22150,3 STRIPEY MICE FELTCRAFT,5460.5,2914,402,288
22151,PLACE SETTING WHITE HEART,5912.19,14853,289,174
22152,PLACE SETTING WHITE STAR,967.13,2350,93,70
22153,ANGEL DECORATION STARS ON DRESS,987.4200000000001,2399,86,61
22154,ANGEL DECORATION 3 BUTTONS ,1455.84,3528,111,87
22155,STAR DECORATION RUSTIC,924.42,2201,85,67
22156,HEART DECORATION WITH PEARLS ,1586.46,1873,152,106
22157,ANGEL DECORATION WITH LACE PADDED,180.2,212,11,11
22158,3 HEARTS HANGING DECORATION RUSTIC,8013.71,2845,261,196
22161,HEART DECORATION RUSTIC HANGING ,855.9200000000001,4138,153,118
22162,HEART GARLAND RUSTIC PADDED,312.7,108,27,21
22163,HEART STRING MEMO HOLDER HANGING,580.94,626,49,41
22164,STRING OF STARS CARD HOLDER,209.45000000000005,71,12,11
22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",1490.65,267,38,27
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,489.9000000000001,122,16,13
22167, OVAL WALL MIRROR DIAMANTE ,1050.0,121,59,41
22168,ORGANISER WOOD ANTIQUE WHITE ,1171.3,140,76,69
22169,FAMILY ALBUM WHITE PICTURE FRAME,8408.14,1074,286,165
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,6378.150000000001,1023,225,142
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,12160.08,1706,304,172
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,6267.39,2149,337,210
22174,PHOTO CUBE,3997.91,2667,169,104
22175,PINK OWL SOFT TOY,2379.05,839,139,84
22176,BLUE OWL SOFT TOY,1420.4,488,98,62
22178,VICTORIAN GLASS HANGING T-LIGHT,28735.36,22404,815,403
22179,SET 10 LIGHTS NIGHT OWL,2593.65,407,77,53
22179,SET 10 NIGHT OWL LIGHTS,2510.34,388,101,59
22180,RETROSPOT LAMP,2922.85,299,131,92
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,477.96999999999997,577,46,40
22182,CAKE STAND VICTORIAN FILIGREE SMALL,713.8000000000001,204,36,30
22183,CAKE STAND VICTORIAN FILIGREE MED,466.95,74,17,16
22184,CAKE STAND VICTORIAN FILIGREE LARGE,68.0,8,4,3
22185,SLATE TILE NATURAL HANGING,1974.2,1390,126,111
22186,RED STAR CARD HOLDER,1723.79,801,118,111
22187,GREEN CHRISTMAS TREE CARD HOLDER,2562.27,1183,145,123
22188,BLACK HEART CARD HOLDER,12257.95,4843,166,123
22189,CREAM HEART CARD HOLDER,22687.920000000002,8188,452,274
22190,LOCAL CAFE MUG,785.13,566,52,38
22191,IVORY DINER WALL CLOCK,11527.7,1419,391,239
22192,BLUE DINER WALL CLOCK,7528.93,907,338,179
22193,RED DINER WALL CLOCK,11048.89,1349,416,206
22194,BLACK DINER WALL CLOCK,450.5,53,33,24
22195,LARGE HEART MEASURING SPOONS,2836.92,1696,220,148
22196,SMALL HEART MEASURING SPOONS,2008.6299999999999,2379,247,146
22197,POPCORN HOLDER,23417.51,30919,632,295
22197,SMALL POPCORN HOLDER,13789.369999999999,18241,403,228
22198,LARGE POPCORN HOLDER ,1370.45,873,53,42
22199,FRYING PAN RED POLKADOT ,4.25,1,1,1
22199,FRYING PAN RED RETROSPOT,1323.0,382,97,71
22200,FRYING PAN PINK POLKADOT,1209.54,326,76,51
22201,FRYING PAN BLUE POLKADOT,366.0,108,40,29
22202,MILK PAN PINK POLKADOT,146.25,39,17,16
22203,MILK PAN RED RETROSPOT,996.13,310,91,75
22204,MILK PAN BLUE POLKADOT,302.5,96,30,23
22207,FRYING PAN UNION FLAG,4727.11,1199,113,68
22208,WOOD STAMP SET THANK YOU,1229.1200000000001,1283,199,148
22209,WOOD STAMP SET HAPPY BIRTHDAY,798.6700000000001,820,121,100
22210,WOOD STAMP SET BEST WISHES,820.91,912,142,117
22211,WOOD STAMP SET FLOWERS,806.73,782,126,101
22212,FOUR HOOK  WHITE LOVEBIRDS,2904.87,1416,253,145
22214,CANDLE PLATE LACE WHITE,246.70000000000002,114,21,18
22215,CAKE STAND WHITE TWO TIER LACE,2254.5,330,89,71
22216,T-LIGHT HOLDER WHITE LACE,182.31,327,20,17
22217,T-LIGHT HOLDER HANGING LACE,646.26,764,64,63
22218,CAKE STAND LACE WHITE,4.25,1,1,1
22219,LOVEBIRD HANGING DECORATION WHITE ,2814.37,3367,311,190
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,1489.55,213,74,64
22221,CAKE STAND LOVEBIRD 2 TIER PINK,964.4,124,44,37
22222,CAKE PLATE LOVEBIRD WHITE,2599.2,824,149,104
22223,CAKE PLATE LOVEBIRD PINK,902.85,315,42,34
22224,WHITE LOVEBIRD LANTERN,1970.65,687,115,89
22227,HANGING HEART MIRROR DECORATION ,1276.85,1969,170,83
22228,BUNNY WOODEN PAINTED WITH BIRD ,597.31,851,93,81
22229,BUNNY WOODEN PAINTED WITH FLOWER ,334.27,495,62,54
22230,JIGSAW TREE WITH WATERING CAN,356.16999999999996,925,63,50
22231,JIGSAW TREE WITH BIRDHOUSE,821.13,867,106,93
22232,JIGSAW TOADSTOOLS 3 PIECE,506.42999999999995,623,61,54
22233,JIGSAW RABBIT AND BIRDHOUSE,514.7,540,77,70
22236,CAKE STAND 3 TIER MAGIC GARDEN,3624.5999999999995,308,88,67
22241,GARLAND WOODEN HAPPY EASTER,2147.7799999999997,1762,165,125
22242,5 HOOK HANGER MAGIC TOADSTOOL,964.35,631,27,23
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,4595.099999999999,3054,108,71
22244,3 HOOK HANGER MAGIC GARDEN,2911.6499999999996,1615,94,66
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",965.26,1198,56,44
22246,"GARLAND, MAGIC GARDEN 1.8M",23.4,12,1,1
22246,MAGIC GARDEN FELT GARLAND ,531.78,266,35,30
22247,BUNNY DECORATION MAGIC GARDEN,406.39,483,56,54
22248,DECORATION  PINK CHICK MAGIC GARDEN,320.53999999999996,382,44,43
22249,DECORATION WHITE CHICK MAGIC GARDEN,530.49,629,75,73
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,375.78999999999996,447,57,57
22251,BIRDHOUSE DECORATION MAGIC GARDEN,642.94,518,72,66
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,761.57,643,67,48
22254,FELT TOADSTOOL LARGE,706.02,594,41,33
22255,FELT TOADSTOOL  SMALL,460.7,542,44,33
22256,FELT FARM ANIMAL CHICKEN,321.25,257,33,32
22257,FELT FARM ANIMAL SHEEP,194.39,283,16,16
22258,FELT FARM ANIMAL RABBIT,543.9399999999999,722,36,35
22259,FELT FARM ANIMAL HEN,240.96,384,16,16
22260,FELT EGG COSY BLUE RABBIT ,351.62,410,47,37
22261,FELT EGG COSY WHITE RABBIT ,442.35999999999996,514,70,61
22262,FELT EGG COSY CHICKEN,785.12,920,90,62
22263,FELT EGG COSY LADYBIRD ,124.83,255,18,14
22264,FELT FARM ANIMAL WHITE BUNNY ,517.0699999999999,1391,40,38
22265,EASTER DECORATION NATURAL CHICK,331.5,510,48,42
22266,EASTER DECORATION HANGING BUNNY,562.7,1860,78,69
22267,EASTER DECORATION EGG BUNNY ,654.7,828,75,67
22268,DECORATION SITTING BUNNY,257.60999999999996,1335,41,32
22268,EASTER DECORATION SITTING BUNNY,407.13,501,54,44
22269,EGG CUP NATURAL CHICKEN,520.48,840,87,62
22270,HAPPY EASTER HANGING DECORATION,770.22,210,42,35
22271,FELTCRAFT DOLL ROSIE,4702.120000000001,1648,256,181
22272,FELTCRAFT DOLL MARIA,553.1,194,46,43
22273,FELTCRAFT DOLL MOLLY,11748.24,4464,293,211
22274,FELTCRAFT DOLL EMILY,3711.5000000000005,1294,231,168
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,527.85,69,1,1
22276,WASH BAG VINTAGE ROSE PAISLEY,645.15,253,62,53
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,728.62,355,63,54
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,1202.85,243,82,59
22279,POCKET BAG BLUE PAISLEY RED SPOT,574.66,477,46,43
22280,POCKET BAG PINK PAISELY BROWN SPOT,223.63,176,30,26
22281,EASTER TREE YELLOW BIRDS,642.6,108,43,35
22282,12 EGG HOUSE PAINTED WOOD,1425.27,111,64,39
22283,6 EGG HOUSE PAINTED WOOD,2043.04,256,117,82
22284,HEN HOUSE DECORATION,1442.1000000000001,874,99,78
22285,"DECORATION HEN ON NEST, HANGING",64.35,39,3,3
22285,HANGING HEN ON NEST DECORATION,1310.1,794,87,72
22286,"DECORATION , WOBBLY RABBIT , METAL ",448.8,272,34,30
22286,DECORATION WOBBLY RABBIT METAL ,375.57,753,45,35
22287,"DECORATION , WOBBLY CHICKEN, METAL ",374.55,227,28,27
22287,DECORATION WOBBLY CHICKEN,256.11,521,29,25
22288,HANGING METAL RABBIT DECORATION,565.0,452,39,37
22289,HANGING METAL CHICKEN DECORATION,152.5,122,19,19
22291,HANGING CHICK CREAM DECORATION,1761.7499999999998,1215,90,72
22292,HANGING CHICK  YELLOW DECORATION,1515.6499999999999,1085,88,76
22293,HANGING CHICK GREEN DECORATION,1184.6499999999999,817,82,63
22294,HEART FILIGREE DOVE  SMALL,6574.82,5362,246,162
22295,HEART FILIGREE DOVE LARGE,4390.47,2719,212,155
22296,HEART IVORY TRELLIS LARGE,4962.43,3039,270,189
22297,HEART IVORY TRELLIS SMALL,4706.28,3856,221,157
22299,PIG KEYRING WITH LIGHT & SOUND ,1231.34,1316,42,38
22300,COFFEE MUG DOG + BALL DESIGN,3011.64,1436,143,100
22301,COFFEE MUG CAT + BIRD DESIGN,4478.34,2098,181,123
22302,COFFEE MUG PEARS  DESIGN,4957.3,2287,190,134
22303,COFFEE MUG APPLES DESIGN,6108.85,2764,229,155
22304,COFFEE MUG BLUE PAISLEY DESIGN,1252.76,738,47,38
22305,COFFEE MUG PINK PAISLEY DESIGN,1559.44,684,44,35
22306,SILVER MUG BONE CHINA TREE OF LIFE,1290.57,1126,99,85
22307,GOLD MUG BONE CHINA TREE OF LIFE,835.61,729,61,53
22308,TEA COSY BLUE STRIPE,356.89,145,36,27
22309,TEA COSY RED  STRIPE,706.83,292,64,48
22310,IVORY KNITTED MUG COSY ,841.79,531,51,29
22311,OFFICE MUG WARMER BLACK+SILVER ,2910.75,1049,93,61
22312,OFFICE MUG WARMER POLKADOT,1443.1900000000003,499,93,61
22313,OFFICE MUG WARMER PINK,1482.89,553,54,41
22314,OFFICE MUG WARMER CHOC+BLUE,1431.14,516,93,58
22315,200 RED + WHITE BENDY STRAWS,912.27,759,119,90
22316,200 BENDY SKULL STRAWS,705.0500000000001,637,41,28
22317,FIVE CATS HANGING DECORATION,503.37000000000006,171,39,35
22318,FIVE HEART HANGING DECORATION,1161.0000000000002,396,89,67
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,572.26,1322,61,53
22320,BIRDS MOBILE VINTAGE DESIGN,1100.21,183,69,56
22321,BIRD DECORATION RED RETROSPOT,625.5999999999999,736,57,45
22322,BIRD DECORATION GREEN POLKADOT,331.5,390,37,30
22323,PINK POLKADOT KIDS BAG,1.95,1,1,1
22324,BLUE POLKADOT KIDS BAG,456.35999999999996,228,29,20
22325,MOBILE VINTAGE HEARTS ,750.3,152,58,49
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,22101.77,8075,595,281
22327,ROUND SNACK BOXES SET OF 4 SKULLS,2325.9500000000003,821,162,106
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,17569.59,6469,458,227
22329,ROUND CONTAINER SET OF 5 RETROSPOT,2181.3,1386,151,103
22331,WOODLAND PARTY BAG + STICKER SET,2750.96,1768,143,101
22332,SKULLS PARTY BAG + STICKER SET,1561.05,981,129,92
22333,RETROSPOT PARTY BAG + STICKER SET,6745.929999999999,4389,267,167
22334,DINOSAUR PARTY BAG + STICKER SET,1101.44,684,91,77
22335,HEART DECORATION PAINTED ZINC ,1246.3,2018,123,88
22336,DOVE DECORATION PAINTED ZINC ,667.71,2281,49,47
22337,ANGEL DECORATION PAINTED ZINC ,383.95,635,26,24
22338,STAR DECORATION PAINTED ZINC ,924.9499999999999,4175,116,94
22339,CHRISTMAS TREE PAINTED ZINC ,569.29,2283,51,44
22340,NOEL GARLAND PAINTED ZINC ,425.15999999999997,980,61,53
22341,LOVE GARLAND PAINTED ZINC ,672.65,405,41,37
22342,HOME GARLAND PAINTED ZINC ,769.65,833,52,49
22343,PARTY PIZZA DISH RED RETROSPOT,744.34,1702,63,48
22344,PARTY PIZZA DISH PINK POLKADOT,372.74,1046,46,34
22345,PARTY PIZZA DISH BLUE POLKADOT,317.90999999999997,969,41,29
22346,PARTY PIZZA DISH GREEN POLKADOT,309.12,882,32,23
22348,TEA BAG PLATE RED RETROSPOT,3221.79,3861,254,144
22349,DOG BOWL CHASING BALL DESIGN,5220.429999999999,1339,114,85
22350,ILLUSTRATED CAT BOWL ,3586.3199999999997,1356,88,63
22351,DOTCOMGIFTSHOP TEA TOWEL,19.8,12,1,1
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6705.04,2848,324,185
22353,LUNCH BOX WITH CUTLERY FAIRY CAKES ,153.0,60,24,23
22354,RETROSPOT PADDED SEAT CUSHION,2502.82,700,65,43
22355,CHARLOTTE BAG SUKI DESIGN,7114.85,8947,585,249
22356,CHARLOTTE BAG PINK POLKADOT,5838.09,7303,487,220
22357,KINGS CHOICE BISCUIT TIN,1332.6,324,87,69
22358,KINGS CHOICE TEA CADDY ,1335.38,454,110,87
22359,GLASS JAR KINGS CHOICE,477.7900000000001,161,62,47
22360,GLASS JAR ENGLISH CONFECTIONERY,2438.2000000000003,880,143,102
22361,GLASS JAR DAISY FRESH COTTON WOOL,1507.3500000000001,537,123,92
22362,GLASS JAR PEACOCK BATH SALTS,987.23,349,81,62
22363,GLASS JAR MARMALADE ,1223.99,453,57,46
22364,GLASS JAR DIGESTIVE BISCUITS,1421.1200000000001,516,95,69
22365,DOORMAT RESPECTABLE HOUSE,4865.19,729,126,83
22366,DOORMAT AIRMAIL ,4887.82,722,156,104
22367,CHILDRENS APRON SPACEBOY DESIGN,6560.79,3537,448,298
22371,AIRLINE BAG VINTAGE TOKYO 78,3468.63,825,247,144
22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,935.33,221,101,81
22374,AIRLINE BAG VINTAGE JET SET RED,1870.09,445,156,108
22375,AIRLINE BAG VINTAGE JET SET BROWN,1043.3,250,96,67
22376,AIRLINE BAG VINTAGE JET SET WHITE,812.19,191,82,66
22377,BOTTLE BAG RETROSPOT ,1510.89,1038,105,83
22378,WALL TIDY RETROSPOT ,2082.06,1680,103,69
22379,RECYCLING BAG RETROSPOT ,11913.03,6074,407,187
